Address,lat,lng
"3895 Church Street, Clarkston, GA 30021, USA",33.8077297,-84.2399398
"7665 Honey Abbey, Koggiung, MA",58.86694439999999,-157.0075001
"9974 Round Bluff Villas, Hemp, NH",43.1938516,-71.5723953
"1103 Bombay Lane, Roswell, GA 30076, USA",34.053926,-84.33830909999999
"8462 Lazy Walk, Lumpkin, VA",37.4315734,-78.6568942
"4716 Cinder Cider Green, Bowbells, NH",48.8030833,-102.2460008
"7206 Hidden Alley, Badnation, HI",43.6516598,-100.3698566
"2991 Middle Branch Corner, Baltimore, MS",39.2628929,-76.6312911
"4501 Harvest Lagoon Trail, Screamer, VT",44.5588028,-72.57784149999999
“6375 Spalding Drive Suite B Norcross”,33.969213,-84.2578815
"4675 Highway 27 North, Carrollton, GA",33.67345299999999,-85.15016399999999
5370 Ash Street,33.6077576,-84.3631616
"1978 Mount Vernon Road, Atlanta, GA 30338, USA",33.9512386,-84.3205938
"4827 Indian Wharf, Dew Drop, NH, 03637-1315",43.1938516,-71.5723953
"9418 Lost Stead, Sioux Lookout, ME",50.0978321,-91.922038
"3185 Rocky Valley, Bumble Bee, ND",47.5514926,-101.0020119
"180 Foggy Lane, Line Store, MS",,
"4535 Silent Freeway, Bamboo, KY",37.8393332,-84.2700179
"6109 Bright Loop, Gaysport, WV",35.8838968,-78.736694
"8407 Fallen Moor, Oklahoma, WI",42.9882217,-88.00514919999999
"1761 Wishing Row, Churchill, PA",40.438402,-79.8431042
"6704 Little Quail Beach, Khwunrghunme, PA",41.2033216,-77.1945247
"5167 Gentle Butterfly Arbor, Absaraka",46.97763339999999,-97.3953528
"3837 Jagged Rise Point, Glenavon, ID",,
"3230 Cotton Diversion, New Market, AZ",34.0489281,-111.0937311
"1684 Colonial Prairie Parade, Dry Prong, SD",31.5812854,-92.53292019999999
"249 Waddell Street, Athens, GA",33.9538388,-83.3792311
"4889 Burning Horse Circuit, Hanna, NY",,
"99 Shady Bear Extension, Chuloonawick, GA",32.1656221,-82.9000751
"662 Colonial Beacon Highway, Kracker Station, OK",32.277369,-89.68535089999999
"2625 Middle Townline, Dot, CT",41.6032207,-73.087749
"2470 Crystal Bay, Chaplin, MS",39.2278272,-120.0047095
"4368 Hartley Bridge Road, Macon, GA",32.742335,-83.71754500000002
"1183 Golden Cape, Chew, ME",,
"8276 Easy Towers, Cantaloupe, TX",31.9685988,-99.9018131
"6278 Umber Lake Downs, Glen Comfort, TN",40.3935948,-105.4402726
"3199 Merry Maze, Powassan, UT",30.2849185,-97.7340567
"1310 Emerald Meadow, Folly, SD",29.71658,-95.78330059999999
"1125 Cozy Elk Centre, Wakatomika, SD",45.5485024,-122.6677464
"4350 Rocky Ridge, Rodney, CT",43.0645236,-89.3927229
"9678 Stony Branch Park, Curtin, WV",38.5976262,-80.4549026
"8447 Lazy Glade, Cloud Chief, ND",35.2525543,-98.843127
"1983 Little Anchor Private, Riverview, CT",41.6032207,-73.087749
"4564 Pleasant Sky Front, Counselor, CO",33.1563478,-94.9737104
"5942 Honey Blossom Freeway, Busti, MA",42.4072107,-71.3824374
"7327 Tawny Hills Way, Buffalolick, ID",,
"8335 Heather Edge, Thistledown, WV",38.5976262,-80.4549026
